Image,Model,Conf,GT_Count,Pred_Count,TP,FP,FN,Precision,Recall,F1
192_jpg.rf.f4e737fa4af8481f1decd5d87069b20a.jpg,YOLOv12n,0.5,1,0,0,0,1,0.0,0.0,0.0
192_jpg.rf.f4e737fa4af8481f1decd5d87069b20a.jpg,YOLOv8-FPN,0.5,1,1,1,0,0,1.0,1.0,1.0
192_jpg.rf.f4e737fa4af8481f1decd5d87069b20a.jpg,YOLOv8n,0.7,1,0,0,0,1,0.0,0.0,0.0
192_jpg.rf.f4e737fa4af8481f1decd5d87069b20a.jpg,YOLOv9c,0.7,1,0,0,0,1,0.0,0.0,0.0
192_jpg.rf.f4e737fa4af8481f1decd5d87069b20a.jpg,YOLOv11,0.7,1,0,0,0,1,0.0,0.0,0.0
192_jpg.rf.f4e737fa4af8481f1decd5d87069b20a.jpg,YOLOv12n,0.7,1,0,0,0,1,0.0,0.0,0.0
192_jpg.rf.f4e737fa4af8481f1decd5d87069b20a.jpg,YOLOv8-FPN,0.7,1,0,0,0,1,0.0,0.0,0.0
219_jpg.rf.61b8aea4fb3d58c91710eede75ba4479.jpg,YOLOv8n,0.25,1,2,1,1,0,0.5,1.0,0.6666666666666666
219_jpg.rf.61b8aea4fb3d58c91710eede75ba4479.jpg,YOLOv9c,0.25,1,1,1,0,0,1.0,1.0,1.0
219_jpg.rf.61b8aea4fb3d58c91710eede75ba4479.jpg,YOLOv11,0.25,1,1,1,0,0,1.0,1.0,1.0
219_jpg.rf.61b8aea4fb3d58c91710eede75ba4479.jpg,YOLOv12n,0.25,1,1,1,0,0,1.0,1.0,1.0
219_jpg.rf.61b8aea4fb3d58c91710eede75ba4479.jpg,YOLOv8-FPN,0.25,1,2,1,1,0,0.5,1.0,0.6666666666666666
219_jpg.rf.61b8aea4fb3d58c91710eede75ba4479.jpg,YOLOv8n,0.5,1,1,1,0,0,1.0,1.0,1.0
219_jpg.rf.61b8aea4fb3d58c91710eede75ba4479.jpg,YOLOv9c,0.5,1,1,1,0,0,1.0,1.0,1.0
219_jpg.rf.61b8aea4fb3d58c91710eede75ba4479.jpg,YOLOv11,0.5,1,1,1,0,0,1.0,1.0,1.0
219_jpg.rf.61b8aea4fb3d58c91710eede75ba4479.jpg,YOLOv12n,0.5,1,1,1,0,0,1.0,1.0,1.0
219_jpg.rf.61b8aea4fb3d58c91710eede75ba4479.jpg,YOLOv8-FPN,0.5,1,1,1,0,0,1.0,1.0,1.0
219_jpg.rf.61b8aea4fb3d58c91710eede75ba4479.jpg,YOLOv8n,0.7,1,1,1,0,0,1.0,1.0,1.0
219_jpg.rf.61b8aea4fb3d58c91710eede75ba4479.jpg,YOLOv9c,0.7,1,1,1,0,0,1.0,1.0,1.0
219_jpg.rf.61b8aea4fb3d58c91710eede75ba4479.jpg,YOLOv11,0.7,1,1,1,0,0,1.0,1.0,1.0
219_jpg.rf.61b8aea4fb3d58c91710eede75ba4479.jpg,YOLOv12n,0.7,1,1,1,0,0,1.0,1.0,1.0
219_jpg.rf.61b8aea4fb3d58c91710eede75ba4479.jpg,YOLOv8-FPN,0.7,1,1,1,0,0,1.0,1.0,1.0
240_jpg.rf.a8ede4fa93c6c20b4ab4a1ade1fdb392.jpg,YOLOv8n,0.25,3,4,3,1,0,0.75,1.0,0.8571428571428571
240_jpg.rf.a8ede4fa93c6c20b4ab4a1ade1fdb392.jpg,YOLOv9c,0.25,3,3,3,0,0,1.0,1.0,1.0
240_jpg.rf.a8ede4fa93c6c20b4ab4a1ade1fdb392.jpg,YOLOv11,0.25,3,3,3,0,0,1.0,1.0,1.0
240_jpg.rf.a8ede4fa93c6c20b4ab4a1ade1fdb392.jpg,YOLOv12n,0.25,3,4,3,1,0,0.75,1.0,0.8571428571428571
240_jpg.rf.a8ede4fa93c6c20b4ab4a1ade1fdb392.jpg,YOLOv8-FPN,0.25,3,5,3,2,0,0.6,1.0,0.7499999999999999
240_jpg.rf.a8ede4fa93c6c20b4ab4a1ade1fdb392.jpg,YOLOv8n,0.5,3,0,0,0,3,0.0,0.0,0.0
240_jpg.rf.a8ede4fa93c6c20b4ab4a1ade1fdb392.jpg,YOLOv9c,0.5,3,2,2,0,1,1.0,0.6666666666666666,0.8
240_jpg.rf.a8ede4fa93c6c20b4ab4a1ade1fdb392.jpg,YOLOv11,0.5,3,1,1,0,2,1.0,0.3333333333333333,0.5
240_jpg.rf.a8ede4fa93c6c20b4ab4a1ade1fdb392.jpg,YOLOv12n,0.5,3,1,1,0,2,1.0,0.3333333333333333,0.5
240_jpg.rf.a8ede4fa93c6c20b4ab4a1ade1fdb392.jpg,YOLOv8-FPN,0.5,3,2,2,0,1,1.0,0.6666666666666666,0.8
240_jpg.rf.a8ede4fa93c6c20b4ab4a1ade1fdb392.jpg,YOLOv8n,0.7,3,0,0,0,3,0.0,0.0,0.0
240_jpg.rf.a8ede4fa93c6c20b4ab4a1ade1fdb392.jpg,YOLOv9c,0.7,3,0,0,0,3,0.0,0.0,0.0
240_jpg.rf.a8ede4fa93c6c20b4ab4a1ade1fdb392.jpg,YOLOv11,0.7,3,0,0,0,3,0.0,0.0,0.0
240_jpg.rf.a8ede4fa93c6c20b4ab4a1ade1fdb392.jpg,YOLOv12n,0.7,3,0,0,0,3,0.0,0.0,0.0
240_jpg.rf.a8ede4fa93c6c20b4ab4a1ade1fdb392.jpg,YOLOv8-FPN,0.7,3,0,0,0,3,0.0,0.0,0.0
32_jpg.rf.69f882265f4dcc3c9c1022140c7066eb.jpg,YOLOv8n,0.25,3,2,2,0,1,1.0,0.6666666666666666,0.8
32_jpg.rf.69f882265f4dcc3c9c1022140c7066eb.jpg,YOLOv9c,0.25,3,4,3,1,0,0.75,1.0,0.8571428571428571
32_jpg.rf.69f882265f4dcc3c9c1022140c7066eb.jpg,YOLOv11,0.25,3,2,2,0,1,1.0,0.6666666666666666,0.8
32_jpg.rf.69f882265f4dcc3c9c1022140c7066eb.jpg,YOLOv12n,0.25,3,3,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
32_jpg.rf.69f882265f4dcc3c9c1022140c7066eb.jpg,YOLOv8-FPN,0.25,3,4,2,2,1,0.5,0.6666666666666666,0.5714285714285715
32_jpg.rf.69f882265f4dcc3c9c1022140c7066eb.jpg,YOLOv8n,0.5,3,2,2,0,1,1.0,0.6666666666666666,0.8
32_jpg.rf.69f882265f4dcc3c9c1022140c7066eb.jpg,YOLOv9c,0.5,3,2,2,0,1,1.0,0.6666666666666666,0.8
32_jpg.rf.69f882265f4dcc3c9c1022140c7066eb.jpg,YOLOv11,0.5,3,2,2,0,1,1.0,0.6666666666666666,0.8
32_jpg.rf.69f882265f4dcc3c9c1022140c7066eb.jpg,YOLOv12n,0.5,3,2,2,0,1,1.0,0.6666666666666666,0.8
32_jpg.rf.69f882265f4dcc3c9c1022140c7066eb.jpg,YOLOv8-FPN,0.5,3,3,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
32_jpg.rf.69f882265f4dcc3c9c1022140c7066eb.jpg,YOLOv8n,0.7,3,2,2,0,1,1.0,0.6666666666666666,0.8
32_jpg.rf.69f882265f4dcc3c9c1022140c7066eb.jpg,YOLOv9c,0.7,3,2,2,0,1,1.0,0.6666666666666666,0.8
32_jpg.rf.69f882265f4dcc3c9c1022140c7066eb.jpg,YOLOv11,0.7,3,2,2,0,1,1.0,0.6666666666666666,0.8
32_jpg.rf.69f882265f4dcc3c9c1022140c7066eb.jpg,YOLOv12n,0.7,3,2,2,0,1,1.0,0.6666666666666666,0.8
